t0,lag1_age_band,lag1_ever_rehab_to_date,lag1_ge_cat,real_admissible_share,synthetic_admissible_share,share_diff_pp,score_ranges_overlap,status
2012,65-69,0,1,0.975788,0.999544,2.376,True,PASS
2013,65-69,0,1,0.966522,0.997796,3.127,False,FAIL
2014,65-69,0,1,0.941159,0.999813,5.865,False,FAIL
2012,50-54,0,1,0.063853,0.3027,23.885,True,FAIL
2017,65-69,0,1,0.937713,,,,NOT_PRESENT_AT_THIS_SCALE
2016,65-69,0,1,0.980028,1.0,1.997,False,FAIL
2015,65-69,0,1,0.935888,0.999134,6.325,True,PASS
2013,60-64,0,1,0.367179,0.655748,28.857,True,FAIL
2018,65-69,0,1,0.926688,0.999634,7.295,True,PASS
2012,60-64,0,1,0.330976,0.986143,65.517,True,FAIL
2012,60-64,0,2,0.456873,0.984623,52.775,False,FAIL
2014,60-64,0,1,0.319139,0.97949,66.035,True,FAIL
2013,50-54,0,1,0.048665,0.458336,40.967,True,FAIL
2012,65-69,0,2,0.958426,0.999637,4.121,False,FAIL
2013,45-49,0,1,0.036519,0.183875,14.736,True,PASS
2015,60-64,0,1,0.316498,0.987652,67.115,True,FAIL
2014,70-74,0,1,0.992334,1.0,0.767,False,FAIL
2012,45-49,0,1,0.03162,0.346188,31.457,True,FAIL
2012,45-49,0,2,0.034573,0.251938,21.737,True,FAIL
2014,50-54,0,1,0.046799,0.424382,37.758,True,FAIL
